bedtime,getuptime,bedtime_index,getuptime_index,hour_length
2021-05-27 23:41:15,2021-05-28 06:53:15,751,1183,7.2
2021-05-28 23:29:15,2021-05-29 07:15:15,2179,2645,7.766666666666667
2021-05-30 22:17:15,2021-05-31 07:57:15,4702,5282,9.666666666666666
2021-05-31 23:23:15,2021-06-01 07:13:15,6170,6640,7.833333333333333
2021-06-02 00:09:15,2021-06-02 07:18:15,7656,8085,7.15
2021-06-02 23:04:15,2021-06-03 07:46:15,8716,9238,8.7
2021-06-04 00:00:54,2021-06-04 08:28:54,10177,10685,8.466666666666667
2021-06-04 23:35:54,2021-06-05 05:19:54,11592,11936,5.733333333333333
2021-06-06 00:33:54,2021-06-06 06:19:54,12120,12466,5.766666666666667
2021-06-07 00:12:54,2021-06-07 06:58:54,13539,13945,6.766666666666667
2021-06-07 23:51:54,2021-06-08 08:52:54,14958,15499,9.016666666666667
2021-06-08 23:25:54,2021-06-09 07:16:54,16372,16843,7.85
2021-06-10 00:24:54,2021-06-10 07:54:54,17492,17942,7.5
2021-06-11 00:11:44,2021-06-11 06:33:44,18901,19283,6.366666666666666
2021-06-12 00:04:44,2021-06-12 08:32:44,20246,20754,8.466666666666667
2021-06-12 23:39:44,2021-06-13 08:09:44,21648,22158,8.5
2021-06-13 23:52:44,2021-06-14 08:06:44,23101,23595,8.233333333333333
2021-06-15 00:52:44,2021-06-15 08:19:44,24456,24903,7.45
2021-06-15 23:47:44,2021-06-16 07:08:44,25831,26272,7.35
2021-06-17 02:17:44,2021-06-17 08:13:44,27263,27619,5.933333333333334
2021-06-18 00:22:57,2021-06-18 07:41:57,28586,29025,7.316666666666666
2021-06-19 00:06:57,2021-06-19 08:41:57,30010,30525,8.583333333333334
2021-06-19 22:49:57,2021-06-20 07:44:57,31359,31894,8.916666666666666
2021-06-20 23:54:57,2021-06-21 06:55:57,32641,33062,7.016666666666667
2021-06-21 23:19:57,2021-06-22 07:34:57,34046,34541,8.25
2021-06-23 00:58:57,2021-06-23 09:03:57,35585,36070,8.083333333333334
2021-06-24 00:30:57,2021-06-24 08:21:57,36978,37449,7.85
2021-06-24 23:34:57,2021-06-25 06:35:57,38362,38783,7.016666666666667
2021-06-25 23:12:57,2021-06-26 07:50:57,39780,40298,8.633333333333333
2021-06-27 00:21:57,2021-06-27 07:02:57,41279,41680,6.683333333333334
2021-06-27 23:01:57,2021-06-28 07:02:57,42639,43120,8.016666666666667
2021-06-29 02:45:57,2021-06-29 07:59:57,44303,44617,5.233333333333333
2021-06-30 00:49:57,2021-06-30 08:12:57,45571,46014,7.383333333333334
2021-07-01 01:16:12,2021-07-01 08:44:12,46945,47393,7.466666666666667
2021-07-01 23:21:12,2021-07-02 09:27:12,48270,48876,10.1
2021-07-02 22:23:12,2021-07-03 09:34:12,49652,50323,11.183333333333334
2021-07-03 22:15:12,2021-07-04 07:13:12,51023,51561,8.966666666666667
2021-07-04 23:44:12,2021-07-05 07:31:12,52552,53019,7.783333333333333
2021-07-05 23:47:12,2021-07-06 07:39:12,53732,54204,7.866666666666666
2021-07-07 00:16:12,2021-07-07 07:47:12,55013,55464,7.516666666666667
2021-07-07 23:37:12,2021-07-08 07:35:12,55863,56341,7.966666666666667
2021-07-08 23:07:25,2021-07-09 07:19:25,56986,57478,8.2
2021-07-09 22:28:25,2021-07-10 07:55:25,58387,58954,9.45
2021-07-10 22:39:25,2021-07-11 07:19:25,59621,60141,8.666666666666666
2021-07-12 00:18:25,2021-07-12 08:51:25,61160,61673,8.55
2021-07-13 00:08:25,2021-07-13 07:39:25,62590,63041,7.516666666666667
2021-07-13 22:51:25,2021-07-14 07:34:25,63953,64476,8.716666666666667
2021-07-14 23:35:25,2021-07-15 07:39:25,65437,65921,8.066666666666666
2021-07-15 23:44:25,2021-07-16 07:44:25,66886,67366,8.0
2021-07-16 22:18:25,2021-07-17 07:47:25,67834,68403,9.483333333333333
2021-07-17 22:52:25,2021-07-18 07:27:25,69308,69823,8.583333333333334
2021-07-18 23:52:25,2021-07-19 07:56:25,69989,70473,8.066666666666666
